	Id	Format	Size	Pts	Duration
744843	wnJ6LuUFpMo	278	60904.0	85.16799999999999	5.3389999999999995
744844	wnJ6LuUFpMo	278	61022.0	90.507	5.13
744845	wnJ6LuUFpMo	278	59123.0	95.637	5.13
744846	wnJ6LuUFpMo	278	61815.0	100.76700000000001	5.3389999999999995
744847	wnJ6LuUFpMo	278	62459.0	106.10600000000001	5.3389999999999995
744848	wnJ6LuUFpMo	278	59090.0	111.445	5.088
744849	wnJ6LuUFpMo	278	55130.0	116.53299999999999	4.963
744850	wnJ6LuUFpMo	278	59635.0	121.49600000000001	5.2139999999999995
744851	wnJ6LuUFpMo	278	62243.0	126.71	5.3389999999999995
744852	wnJ6LuUFpMo	278	62409.0	132.049	5.422000000000001
744853	wnJ6LuUFpMo	278	60450.0	137.471	5.088
744854	wnJ6LuUFpMo	278	58641.0	142.559	5.0889999999999995
744855	wnJ6LuUFpMo	278	61663.0	147.648	5.171
744856	wnJ6LuUFpMo	278	48054.0	152.819	4.129
744857	wnJ6LuUFpMo	278	62598.0	156.94799999999998	5.256
744858	wnJ6LuUFpMo	278	58896.0	162.204	5.088
744859	wnJ6LuUFpMo	278	52806.0	167.292	4.588
744860	wnJ6LuUFpMo	278	57624.0	171.88	5.005
744861	wnJ6LuUFpMo	278	62360.0	176.885	5.297000000000001
744862	wnJ6LuUFpMo	278	42431.0	182.18200000000002	3.6289999999999996
744863	wnJ6LuUFpMo	160	50622.0	0.0	5.255
744864	wnJ6LuUFpMo	160	75387.0	5.255	5.422000000000001
744865	wnJ6LuUFpMo	160	57675.0	10.677	4.296
744866	wnJ6LuUFpMo	160	68511.0	14.972999999999999	4.963
744867	wnJ6LuUFpMo	160	68745.0	19.936	5.005
744868	wnJ6LuUFpMo	160	61049.0	24.941	4.671
744869	wnJ6LuUFpMo	160	67740.0	29.612	5.088
744870	wnJ6LuUFpMo	160	73210.0	34.7	5.4639999999999995
744871	wnJ6LuUFpMo	160	72529.0	40.164	5.255
744872	wnJ6LuUFpMo	160	73031.0	45.419	5.422000000000001
744873	wnJ6LuUFpMo	160	56113.0	50.841	4.171
744874	wnJ6LuUFpMo	160	68901.0	55.012	5.088
744875	wnJ6LuUFpMo	160	62240.0	60.1	4.671
744876	wnJ6LuUFpMo	160	66599.0	64.771	4.963
744877	wnJ6LuUFpMo	160	59049.0	69.734	5.005
744878	wnJ6LuUFpMo	160	69423.0	74.73899999999999	5.005
744879	wnJ6LuUFpMo	160	71626.0	79.744	5.422000000000001
744880	wnJ6LuUFpMo	160	40871.0	85.166	5.3389999999999995
744881	wnJ6LuUFpMo	160	50414.0	90.505	5.13
744882	wnJ6LuUFpMo	160	43087.0	95.635	5.13
744883	wnJ6LuUFpMo	160	72585.0	100.765	5.3389999999999995
744884	wnJ6LuUFpMo	160	58913.0	106.104	5.3389999999999995
744885	wnJ6LuUFpMo	160	50182.0	111.443	5.088
744886	wnJ6LuUFpMo	160	68061.0	116.531	4.963
744887	wnJ6LuUFpMo	160	69309.0	121.494	5.2139999999999995
744888	wnJ6LuUFpMo	160	47967.0	126.708	5.3389999999999995
744889	wnJ6LuUFpMo	160	45535.0	132.047	5.422000000000001
744890	wnJ6LuUFpMo	160	58113.0	137.469	5.088
744891	wnJ6LuUFpMo	160	70596.0	142.55700000000002	5.088
744892	wnJ6LuUFpMo	160	69532.0	147.645	5.172000000000001
744893	wnJ6LuUFpMo	160	55979.0	152.817	4.129
744894	wnJ6LuUFpMo	160	51082.0	156.946	5.255
744895	wnJ6LuUFpMo	160	33477.0	162.201	5.088
744896	wnJ6LuUFpMo	160	57176.0	167.28900000000002	4.588
744897	wnJ6LuUFpMo	160	68964.0	171.877	5.005
744898	wnJ6LuUFpMo	160	71367.0	176.882	5.297000000000001
744899	wnJ6LuUFpMo	160	49825.0	182.179	3.6289999999999996
744900	wnJ6LuUFpMo	242	144424.0	0.0	5.255
744901	wnJ6LuUFpMo	242	147558.0	5.255	5.422000000000001
744902	wnJ6LuUFpMo	242	94224.0	10.677	4.296
744903	wnJ6LuUFpMo	242	124020.0	14.972999999999999	4.9639999999999995
744904	wnJ6LuUFpMo	242	134685.0	19.937	5.005
744905	wnJ6LuUFpMo	242	110380.0	24.941999999999997	4.671
744906	wnJ6LuUFpMo	242	125845.0	29.613000000000003	5.088
744907	wnJ6LuUFpMo	242	133129.0	34.701	5.4639999999999995
744908	wnJ6LuUFpMo	242	113193.0	40.165	5.255
744909	wnJ6LuUFpMo	242	137661.0	45.42	5.422000000000001
744910	wnJ6LuUFpMo	242	108059.0	50.842	4.171
744911	wnJ6LuUFpMo	242	140009.0	55.013000000000005	5.0889999999999995
744912	wnJ6LuUFpMo	242	128152.0	60.102	4.671
744913	wnJ6LuUFpMo	242	138731.0	64.773	4.963
744914	wnJ6LuUFpMo	242	114869.0	69.736	5.005
744915	wnJ6LuUFpMo	242	136422.0	74.741	5.005
744916	wnJ6LuUFpMo	242	137065.0	79.74600000000001	5.422000000000001
744917	wnJ6LuUFpMo	242	101728.0	85.16799999999999	5.3389999999999995
744918	wnJ6LuUFpMo	242	113050.0	90.507	5.13
744919	wnJ6LuUFpMo	242	109610.0	95.637	5.13
744920	wnJ6LuUFpMo	242	142105.0	100.76700000000001	5.3389999999999995
744921	wnJ6LuUFpMo	242	109372.0	106.10600000000001	5.3389999999999995
744922	wnJ6LuUFpMo	242	122858.0	111.445	5.088
744923	wnJ6LuUFpMo	242	133736.0	116.53299999999999	4.963
744924	wnJ6LuUFpMo	242	137511.0	121.49600000000001	5.2139999999999995
744925	wnJ6LuUFpMo	242	117727.0	126.71	5.3389999999999995
744926	wnJ6LuUFpMo	242	105756.0	132.049	5.422000000000001
744927	wnJ6LuUFpMo	242	137590.0	137.471	5.088
744928	wnJ6LuUFpMo	242	127972.0	142.559	5.0889999999999995
744929	wnJ6LuUFpMo	242	141614.0	147.648	5.171
744930	wnJ6LuUFpMo	242	101624.0	152.819	4.129
744931	wnJ6LuUFpMo	242	115671.0	156.94799999999998	5.256
744932	wnJ6LuUFpMo	242	98426.0	162.204	5.088
744933	wnJ6LuUFpMo	242	119786.0	167.292	4.588
744934	wnJ6LuUFpMo	242	130143.0	171.88	5.005
744935	wnJ6LuUFpMo	242	140454.0	176.885	5.297000000000001
744936	wnJ6LuUFpMo	242	91249.0	182.18200000000002	3.6289999999999996
744937	wnJ6LuUFpMo	133	101112.0	0.0	5.255
744938	wnJ6LuUFpMo	133	150674.0	5.255	5.422000000000001
744939	wnJ6LuUFpMo	133	136586.0	10.677	4.296
744940	wnJ6LuUFpMo	133	146417.0	14.972999999999999	4.963
744941	wnJ6LuUFpMo	133	153458.0	19.936	5.005
744942	wnJ6LuUFpMo	133	128486.0	24.941	4.671
744943	wnJ6LuUFpMo	133	130773.0	29.612	5.088
744944	wnJ6LuUFpMo	133	190871.0	34.7	5.4639999999999995
744945	wnJ6LuUFpMo	133	172853.0	40.164	5.255
744946	wnJ6LuUFpMo	133	160216.0	45.419	5.422000000000001
744947	wnJ6LuUFpMo	133	170696.0	50.841	4.171
744948	wnJ6LuUFpMo	133	163394.0	55.012	5.088
744949	wnJ6LuUFpMo	133	166000.0	60.1	4.671
744950	wnJ6LuUFpMo	133	175692.0	64.771	4.963
744951	wnJ6LuUFpMo	133	108851.0	69.734	5.005
744952	wnJ6LuUFpMo	133	166938.0	74.73899999999999	5.005
744953	wnJ6LuUFpMo	133	179403.0	79.744	5.422000000000001
744954	wnJ6LuUFpMo	133	98752.0	85.166	5.3389999999999995
744955	wnJ6LuUFpMo	133	118164.0	90.505	5.13
744956	wnJ6LuUFpMo	133	101818.0	95.635	5.13
744957	wnJ6LuUFpMo	133	177284.0	100.765	5.3389999999999995
744958	wnJ6LuUFpMo	133	132308.0	106.104	5.3389999999999995
744959	wnJ6LuUFpMo	133	128650.0	111.443	5.088
744960	wnJ6LuUFpMo	133	167023.0	116.531	4.963
744961	wnJ6LuUFpMo	133	182850.0	121.494	5.2139999999999995
744962	wnJ6LuUFpMo	133	120758.0	126.708	5.3389999999999995
744963	wnJ6LuUFpMo	133	103198.0	132.047	5.422000000000001
744964	wnJ6LuUFpMo	133	121560.0	137.469	5.088
744965	wnJ6LuUFpMo	133	188852.0	142.55700000000002	5.088
744966	wnJ6LuUFpMo	133	183716.0	147.645	5.172000000000001
744967	wnJ6LuUFpMo	133	170537.0	152.817	4.129
744968	wnJ6LuUFpMo	133	121778.0	156.946	5.255
744969	wnJ6LuUFpMo	133	81851.0	162.201	5.088
744970	wnJ6LuUFpMo	133	133867.0	167.28900000000002	4.588
744971	wnJ6LuUFpMo	133	160879.0	171.877	5.005
744972	wnJ6LuUFpMo	133	173233.0	176.882	5.297000000000001
744973	wnJ6LuUFpMo	133	109673.0	182.179	3.6289999999999996
744974	wnJ6LuUFpMo	243	269215.0	0.0	5.255
744975	wnJ6LuUFpMo	243	269619.0	5.255	5.422000000000001
744976	wnJ6LuUFpMo	243	166237.0	10.677	4.296
744977	wnJ6LuUFpMo	243	234356.0	14.972999999999999	4.9639999999999995
744978	wnJ6LuUFpMo	243	251580.0	19.937	5.005
744979	wnJ6LuUFpMo	243	202035.0	24.941999999999997	4.671
744980	wnJ6LuUFpMo	243	229881.0	29.613000000000003	5.088
744981	wnJ6LuUFpMo	243	258443.0	34.701	5.4639999999999995
744982	wnJ6LuUFpMo	243	208098.0	40.165	5.255
744983	wnJ6LuUFpMo	243	261240.0	45.42	5.422000000000001
744984	wnJ6LuUFpMo	243	205946.0	50.842	4.171
744985	wnJ6LuUFpMo	243	259459.0	55.013000000000005	5.0889999999999995
744986	wnJ6LuUFpMo	243	236194.0	60.102	4.671
744987	wnJ6LuUFpMo	243	257160.0	64.773	4.963
744988	wnJ6LuUFpMo	243	204043.0	69.736	5.005
744989	wnJ6LuUFpMo	243	249584.0	74.741	5.005
744990	wnJ6LuUFpMo	243	252513.0	79.74600000000001	5.422000000000001
744991	wnJ6LuUFpMo	243	215717.0	85.16799999999999	5.3389999999999995
744992	wnJ6LuUFpMo	243	251861.0	90.507	5.13
744993	wnJ6LuUFpMo	243	215056.0	95.637	5.13
744994	wnJ6LuUFpMo	243	262595.0	100.76700000000001	5.3389999999999995
744995	wnJ6LuUFpMo	243	215586.0	106.10600000000001	5.3389999999999995
744996	wnJ6LuUFpMo	243	248113.0	111.445	5.088
744997	wnJ6LuUFpMo	243	234185.0	116.53299999999999	4.963
744998	wnJ6LuUFpMo	243	240576.0	121.49600000000001	5.2139999999999995
744999	wnJ6LuUFpMo	243	248770.0	126.71	5.3389999999999995
745000	wnJ6LuUFpMo	243	245515.0	132.049	5.422000000000001
745001	wnJ6LuUFpMo	243	252544.0	137.471	5.088
745002	wnJ6LuUFpMo	243	262150.0	142.559	5.0889999999999995
745003	wnJ6LuUFpMo	243	262427.0	147.648	5.171
745004	wnJ6LuUFpMo	243	205557.0	152.819	4.129
745005	wnJ6LuUFpMo	243	209882.0	156.94799999999998	5.256
745006	wnJ6LuUFpMo	243	224601.0	162.204	5.088
745007	wnJ6LuUFpMo	243	217227.0	167.292	4.588
745008	wnJ6LuUFpMo	243	238984.0	171.88	5.005
745009	wnJ6LuUFpMo	243	259044.0	176.885	5.297000000000001
